Student_ID,Study_Hours,Attendance,Assignment_Score,Previous_Marks,Final_Marks,Result
STD067,2.3,90.9,71.0,61.5,59.1,Pass
STD068,8.2,77.8,59.4,88.3,94.8,Pass
STD069,1.7,76.5,87.7,56.1,65.0,Pass
STD070,9.9,62.1,56.2,42.0,80.9,Pass
STD071,8.0,54.7,66.3,43.6,63.9,Pass
STD072,2.8,94.9,44.7,80.7,71.7,Pass
STD073,1.0,95.0,41.5,72.1,54.8,Pass
STD074,8.3,81.7,97.8,41.1,90.9,Pass
STD075,7.4,67.0,90.2,40.0,80.2,Pass
STD076,7.6,67.5,81.8,77.1,85.9,Pass
STD077,7.9,86.3,64.5,39.4,77.3,Pass
STD078,1.7,94.9,50.4,84.3,64.8,Pass
STD079,4.2,94.4,49.4,77.4,77.1,Pass
STD080,2.0,89.0,55.0,39.9,60.0,Pass
STD081,8.8,82.1,73.0,40.1,79.4,Pass
STD082,6.6,54.2,82.9,94.2,92.0,Pass
STD083,4.0,58.1,79.6,57.5,63.9,Pass
STD084,1.6,94.9,56.8,57.2,57.5,Pass
STD085,3.8,80.3,97.3,83.8,83.5,Pass
STD086,3.9,50.5,84.3,91.8,72.0,Pass
STD087,7.6,55.1,73.3,94.2,89.0,Pass
STD088,6.7,83.2,76.7,80.2,85.0,Pass
STD089,9.0,50.3,65.2,57.6,91.6,Pass
STD090,5.2,58.0,54.9,40.0,60.5,Pass
STD091,2.1,77.4,61.4,81.6,65.1,Pass
STD092,7.4,84.6,85.5,68.5,92.9,Pass
STD093,7.8,82.6,40.9,60.5,80.6,Pass
STD094,6.1,61.2,47.0,89.4,79.3,Pass
STD095,7.9,85.6,42.8,41.7,79.2,Pass
STD096,5.4,61.9,42.4,64.6,72.0,Pass
STD097,5.7,66.3,91.3,35.7,67.5,Pass
STD098,4.8,87.3,82.2,63.1,76.7,Pass
STD099,1.2,82.5,68.5,38.4,51.2,Pass
STD100,2.0,92.5,45.9,42.1,43.5,Fail
STD101,1.3,82.9,69.5,42.1,47.0,Fail
STD102,6.7,78.4,68.4,74.0,92.8,Pass
STD103,3.8,54.7,50.4,79.8,75.1,Pass
STD104,5.6,68.4,66.0,70.0,76.0,Pass
STD105,9.2,63.3,63.9,92.7,100.0,Pass
STD106,3.2,62.2,77.0,57.5,65.4,Pass
STD107,4.7,98.7,78.1,52.1,92.7,Pass
STD108,7.8,69.7,42.7,87.1,93.2,Pass
STD109,3.1,94.6,62.5,48.4,64.9,Pass
STD110,1.7,81.6,77.6,92.8,70.4,Pass
STD111,3.6,89.7,70.2,35.7,55.3,Pass
STD112,2.5,75.1,91.4,93.2,80.7,Pass
STD113,9.4,78.8,79.5,37.6,82.6,Pass
STD114,8.3,74.6,49.8,88.5,85.7,Pass
STD115,6.7,59.8,44.2,66.7,70.7,Pass
STD116,8.8,86.1,78.5,94.6,100.0,Pass
STD117,8.2,64.0,41.6,39.4,79.3,Pass
STD118,2.7,51.2,75.1,68.2,66.9,Pass
STD119,9.0,82.3,96.4,93.2,100.0,Pass
STD120,5.9,58.9,74.5,66.4,83.9,Pass
